mp_id,formula,XYZ
mp-11879,BaNiSn3,ABC3
mp-1227995,BaIn3Pt,ABC3
mp-1295957,BaCoO3,ABC3
mp-20461,BaPbO3,ABC3
mp-22230,BaPbO3,ABC3
mp-22705,BaPrO3,ABC3
mp-27499,BaTeS3,ABC3
mp-29243,Ba3SnO,ABC3
mp-2929,BaTbO3,ABC3
mp-2939,BaTbO3,ABC3
mp-2998,BaTiO3,ABC3
mp-3163,BaSnO3,ABC3
mp-35078,BaMnO3,ABC3
mp-35143,BaNbS3,ABC3
mp-35730,BaUO3,ABC3
mp-3601,BaUS3,ABC3
mp-504715,BaTiO3,ABC3
mp-505025,BaPuO3,ABC3
mp-5431,BaTeO3,ABC3
mp-555174,BaTcO3,ABC3
mp-555857,BaVS3,ABC3
mp-567666,Ba3BiN,ABC3
mp-571479,BaYbSn3,ABC3
mp-676020,BaCO3,ABC3
mp-676865,BaGeO3,ABC3
mp-6909,BaPrO3,ABC3
mp-6910,BaPrO3,ABC3
mp-6989,BaSeO3,ABC3
mp-7339,BaSiO3,ABC3
mp-754678,BaTaO3,ABC3
mp-754940,Ba3SiO,ABC3
mp-755877,BaNdO3,ABC3
mp-8557,BaPaO3,ABC3
mp-998419,BaHfS3,ABC3
mp-998427,BaZrSe3,ABC3
mp-998552,BaHfO3,ABC3
mp-1013557,Ba3SbN,ABC3
mp-1016821,BaSiO3,ABC3
mp-1016823,BaGeO3,ABC3
mp-1016850,BaRhO3,ABC3
mp-1019544,BaZrO3,ABC3
mp-1076800,BaCuO3,ABC3
mp-1078588,BaTaSe3,ABC3
mp-11008,BaPSe3,ABC3
mp-1178510,BaPdO3,ABC3
mp-1183285,BaCaO3,ABC3
mp-1183290,BaPtO3,ABC3
mp-1183298,BaReO3,ABC3
mp-1192651,BaFeO3,ABC3
mp-1205336,BaMnO3,ABC3
mp-1214332,BaSrBi3,ABC3
mp-1227982,BaCO3,ABC3
