material_id,pretty_formula,formula_anonymous
mp-996962,LiAgO2,ABC2
mp-996968,AgBiO2,ABC2
mp-996980,AgAuO2,ABC2
mp-996982,AgBiO2,ABC2
mp-996983,AgAuO2,ABC2
mp-996984,AgClO2,ABC2
mp-996995,MnAgO2,ABC2
mp-997006,AgPtO2,ABC2
mp-997030,CaAgO2,ABC2
mp-998154,TlAgBr3,ABC3
mp-998201,RbAgCl3,ABC3
mp-998414,CuAgF3,ABC3
mp-998553,KAgBr3,ABC3
mp-998568,KAgBr3,ABC3
mvc-15475,AlAgO3,ABC3
mvc-3470,YAgO3,ABC3
mvc-4630,Mg(AgO2)2,AB2C4
mvc-4850,Zn(AgO2)2,AB2C4
mvc-4859,Ca(AgO2)2,AB2C4
mvc-5584,Mg(AgO2)2,AB2C4
mvc-9604,Ca(AgO2)2,AB2C4
mvc-9751,Mg(AgO2)2,AB2C4
mp-1006372,AgSO4,ABC4
mp-1018025,LuAgO2,ABC2
mp-1018797,MgAgSb,ABC
mp-1025220,SiAgPt5,ABC5
mp-10480,CsAg5Se3,AB3C5
mp-10666,Mn3AgN,ABC3
mp-10667,SrAgP,ABC
mp-10668,Yb(SiAg)2,AB2C2
mp-1076848,Sm2Ag2O5,A2B2C5
mp-1077428,NdCu4Ag,ABC4
mp-1077498,ErCu4Ag,ABC4
mp-1077578,CeGaAg,ABC
mp-1078223,Eu(Ag2Sb)2,AB2C4
mp-1078739,YAgSb2,ABC2
mp-1079032,Ag2IO6,AB2C6
mp-1079690,GdSiAg,ABC
mp-1079843,LaMgAg,ABC
mp-10809,AgSnF6,ABC6
mp-1093547,Ba2AgHg,ABC2
mp-1093557,YZnAg2,ABC2
mp-1093618,Cu2AgAu,ABC2
mp-1093668,Ca2CdAg,ABC2
mp-1093677,LiAg2Hg,ABC2
mp-1093709,ScCu2Ag,ABC2
mp-1093765,HfAgAu2,ABC2
mp-1093771,Sr2ZnAg,ABC2
mp-1093875,ZrAgAu2,ABC2
mp-1093894,ZnAgPd2,ABC2
mp-1093913,LaZnAg2,ABC2
mp-1093949,Ba2TlAg,ABC2
mp-1094026,Y3AgO5,AB3C5
mp-1095026,DyAgSe2,ABC2
mp-1095787,ScAgPd2,ABC2
mp-1095806,LiIn2Ag,ABC2
mp-1095869,ScAg2Hg,ABC2
mp-1095891,Sr2AgSb,ABC2
mp-1095900,ZnAgAu2,ABC2
mp-1095915,NaAg2Pb,ABC2
mp-1095962,LiAg2Bi,ABC2
mp-1096035,Ca2TlAg,ABC2
mp-1096036,ScGaAg2,ABC2
mp-1096099,LiTlAg2,ABC2
mp-1096233,YAgPd2,ABC2
mp-1096285,Li2CuAg,ABC2
mp-1096301,MgAgPd2,ABC2
mp-1096322,Sc2AgRh,ABC2
mp-1096329,Ag2PdAu,ABC2
mp-1096330,LiAgHg2,ABC2
mp-1096339,Y2AgPd,ABC2
mp-1096346,Li2MgAg,ABC2
mp-1096371,Mg2AgHg,ABC2
mp-1096381,AgSnPd2,ABC2
mp-1096413,LiCuAg2,ABC2
mp-1096465,Sr2CdAg,ABC2
mp-1096471,YAg2Hg,ABC2
mp-1096577,Li2AgGe,ABC2
mp-1096651,Mg2CdAg,ABC2
mp-1096652,CaTlAg2,ABC2
mp-1096653,Y2AgPb,ABC2
mp-1096668,AlAgAu2,ABC2
mp-1096672,Sc2AgPb,ABC2
mp-1096684,Li2CdAg,ABC2
mp-1096802,Ag2GeSe3,AB2C3
