mp_id,formula,anonymous_formulas,C3
mp-545783,BaBiO3,ABC3,O3
mp-548824,BaTbO3,ABC3,O3
mp-558125,BaTiO3,ABC3,O3
mp-5660,BaIrO3,ABC3,O3
mp-5777,BaTiO3,ABC3,O3
mp-675227,BaMnO3,ABC3,O3
mp-675324,BaCO3,ABC3,O3
mp-7143,BaPuO3,ABC3,O3
mp-754307,BaNdO3,ABC3,O3
mp-755829,BSbO3,ABC3,O3
mp-762225,BaCO3,ABC3,O3
mp-1016852,BaMnO3,ABC3,O3
mp-1017591,BaRuO3,ABC3,O3
mp-1076932,BaTiO3,ABC3,O3
mp-1080782,BaClO3,ABC3,O3
mp-1120765,BaNiO3,ABC3,O3
mp-1178513,BaSnO3,ABC3,O3
mp-1182337,BaClO3,ABC3,O3
mp-1183284,BaLiO3,ABC3,O3
mp-1183288,BaInO3,ABC3,O3
mp-1183393,BaTlO3,ABC3,O3
mp-1183934,CsBaO3,ABC3,O3
mp-1295957,BaCoO3,ABC3,O3
mp-20461,BaPbO3,ABC3,O3
mp-22230,BaPbO3,ABC3,O3
mp-22705,BaPrO3,ABC3,O3
mp-2929,BaTbO3,ABC3,O3
mp-2939,BaTbO3,ABC3,O3
mp-2998,BaTiO3,ABC3,O3
mp-3163,BaSnO3,ABC3,O3
mp-35078,BaMnO3,ABC3,O3
mp-35730,BaUO3,ABC3,O3
mp-504715,BaTiO3,ABC3,O3
mp-505025,BaPuO3,ABC3,O3
mp-5431,BaTeO3,ABC3,O3
mp-555174,BaTcO3,ABC3,O3
mp-676020,BaCO3,ABC3,O3
mp-676865,BaGeO3,ABC3,O3
mp-6909,BaPrO3,ABC3,O3
mp-6910,BaPrO3,ABC3,O3
mp-6989,BaSeO3,ABC3,O3
mp-7339,BaSiO3,ABC3,O3
mp-754678,BaTaO3,ABC3,O3
mp-755877,BaNdO3,ABC3,O3
mp-8557,BaPaO3,ABC3,O3
mp-998552,BaHfO3,ABC3,O3
mp-1016821,BaSiO3,ABC3,O3
mp-1016823,BaGeO3,ABC3,O3
mp-1016850,BaRhO3,ABC3,O3
mp-1019544,BaZrO3,ABC3,O3
mp-1076800,BaCuO3,ABC3,O3
mp-1178510,BaPdO3,ABC3,O3
mp-1183285,BaCaO3,ABC3,O3
mp-1183290,BaPtO3,ABC3,O3
mp-1183298,BaReO3,ABC3,O3
mp-1192651,BaFeO3,ABC3,O3
mp-1205336,BaMnO3,ABC3,O3
mp-1227982,BaCO3,ABC3,O3
mp-1227991,BaInO3,ABC3,O3
mp-18965,BaCoO3,ABC3,O3
mp-19156,BaMnO3,ABC3,O3
mp-19990,BaTiO3,ABC3,O3
mp-20129,BaTbO3,ABC3,O3
mp-20991,BaPbO3,ABC3,O3
mp-22942,BaBiO3,ABC3,O3
mp-34195,BaCO3,ABC3,O3
mp-3597,BaRuO3,ABC3,O3
mp-3598,BaRuO3,ABC3,O3
mp-5020,BaTiO3,ABC3,O3
mp-542897,BaIrO3,ABC3,O3
mp-5504,BaCO3,ABC3,O3
mp-559051,BaBiO3,ABC3,O3
mp-561598,BaPbO3,ABC3,O3
mp-5663,BaCeO3,ABC3,O3
mp-5735,BaTbO3,ABC3,O3
mp-5933,BaTiO3,ABC3,O3
mp-644497,BaTiO3,ABC3,O3
mp-757501,BaMnO3,ABC3,O3
mp-776084,BaSiO3,ABC3,O3
mp-781625,BaOsO3,ABC3,O3
mp-995191,BaTiO3,ABC3,O3
mp-1183282,BaBeO3,ABC3,O3
mp-1183289,BaScO3,ABC3,O3
mp-1183292,BaCdO3,ABC3,O3
mp-1183394,BaTmO3,ABC3,O3
mp-1183406,BaYbO3,ABC3,O3
mp-19035,BaFeO3,ABC3,O3
mp-19241,BaNiO3,ABC3,O3
mp-21280,BaPbO3,ABC3,O3
mp-23438,BaBiO3,ABC3,O3
mp-23482,BaBiO3,ABC3,O3
mp-3020,BaNbO3,ABC3,O3
mp-3187,BaCeO3,ABC3,O3
mp-3316,BaCeO3,ABC3,O3
mp-4900,BaCeO3,ABC3,O3
mp-556021,BaTeO3,ABC3,O3
mp-557081,BaCrO3,ABC3,O3
mp-557535,BaMnO3,ABC3,O3
mp-5986,BaTiO3,ABC3,O3
mp-644369,BaBiO3,ABC3,O3
mp-674478,BaCO3,ABC3,O3
mp-705845,BaFeO3,ABC3,O3
mp-768307,BaSO3,ABC3,O3
mp-776076,BaSiO3,ABC3,O3
mp-8558,BaNpO3,ABC3,O3
mp-973447,KBaO3,ABC3,O3
mp-1182237,BaClO3,ABC3,O3
mp-1183286,BaDyO3,ABC3,O3
mp-1183395,BaWO3,ABC3,O3
mp-1183405,BaZnO3,ABC3,O3
mp-1183443,BeSbO3,ABC3,O3
mp-1183449,BeVO3,ABC3,O3
mp-1183476,BeReO3,ABC3,O3
mp-1184148,ErBeO3,ABC3,O3
mp-1184610,HoBeO3,ABC3,O3
mp-1186392,PaBeO3,ABC3,O3
mp-1187143,SrBeO3,ABC3,O3
mp-1187310,TbBeO3,ABC3,O3
mp-1187421,ThBeO3,ABC3,O3
mp-1227955,BaBiO3,ABC3,O3
mp-12958,BaSiO3,ABC3,O3
mp-18407,BaSiO3,ABC3,O3
mp-18840,BaMnO3,ABC3,O3
mp-19138,BaNiO3,ABC3,O3
mp-19267,BaMnO3,ABC3,O3
mp-4307,BaIrO3,ABC3,O3
mp-4559,BaCO3,ABC3,O3
mp-4783,BaPrO3,ABC3,O3
mp-545643,BaCO3,ABC3,O3
mp-5773,BaRuO3,ABC3,O3
mp-7685,BaRhO3,ABC3,O3
mp-8037,BaThO3,ABC3,O3
mp-975387,RbBaO3,ABC3,O3
mp-976185,NaBeO3,ABC3,O3
mp-978503,SmBeO3,ABC3,O3
mp-981934,LaBeO3,ABC3,O3
mp-982975,LiBeO3,ABC3,O3
mp-984552,BeZnO3,ABC3,O3
mp-984632,CaBeO3,ABC3,O3
mp-1101165,YbBiO3,ABC3,O3
mp-1183403,BeBiO3,ABC3,O3
mp-1183413,BeHgO3,ABC3,O3
mp-1183415,BeGeO3,ABC3,O3
mp-1183418,BeCdO3,ABC3,O3
mp-1183426,BeCuO3,ABC3,O3
mp-1183431,BeOsO3,ABC3,O3
mp-1183436,BeInO3,ABC3,O3
mp-1183445,BeSiO3,ABC3,O3
mp-1183447,BePdO3,ABC3,O3
mp-1183451,BePtO3,ABC3,O3
mp-1183499,BePbO3,ABC3,O3
mp-1183685,CeBeO3,ABC3,O3
mp-1184325,EuBeO3,ABC3,O3
mp-1184468,GdBeO3,ABC3,O3
mp-1184563,HfBeO3,ABC3,O3
mp-1185692,MgBeO3,ABC3,O3
mp-1186216,NbBiO3,ABC3,O3
